,pelicula_id,compañia,recaudacion
310,9070,Toei Company,66000000.0
336,1642,Columbia Pictures,110627965.0
346,11980,Dimension Films,16.0
349,10802,United Artists,20350754.0
351,10802,Le Studio Canal+,20350754.0
353,10802,Carolco Pictures,20350754.0
355,10149,Miramax Films,8349430.0
361,9348,Metro-Goldwyn-Mayer (MGM),113374103.0
364,3512,Regency Enterprises,104324083.0
365,3512,Warner Bros.,104324083.0
366,3512,Seagal/Nasso Productions,104324083.0
367,3512,Victor Company of Japan (JVC),104324083.0
368,3512,Cutting Edge Films,104324083.0
374,50797,Canal+,2616503.0
376,50797,Studio Trite,2616503.0
378,50797,Caméra One,2616503.0
380,76,Detour Film Production,5535405.0
389,76,Warner Bros.,5535405.0
416,2292,Miramax Films,3151130.0
417,2292,View Askew Productions,3151130.0
418,8467,New Line Cinema,247275374.0
419,8467,Motion Picture Corporation of America (MPCA),247275374.0
420,15789,Walt Disney Pictures,35348597.0
425,628,Geffen Pictures,223664608.0
429,11,Lucasfilm,775398007.0
430,11,Twentieth Century Fox Film Corporation,775398007.0
435,63105,Filmwerks,0.0
436,63105,Imperial Entertainment,0.0
441,527,Avalon Studios,2201126.0
443,527,New Zealand Film Commission,2201126.0
445,527,New Zealand On Air,2201126.0
447,18220,New Line Cinema,0.0
448,18220,CineTel Pictures,0.0
449,18220,MG Entertainment,0.0
456,110,Zespół Filmowy TOR,0.0
459,110,Le Studio Canal+,0.0
462,110,France 3 Cinéma,0.0
465,110,Télévision Suisse-Romande,0.0
492,108,France 3 Cinéma,0.0
496,108,CED Productions,0.0
516,109,Le Studio Canal+,0.0
522,109,France 3 Cinéma,0.0
528,109,Eurimages,0.0
570,22586,Rich Animation Studios,9771658.0
571,11395,Walt Disney Pictures,189833357.0
572,11395,Hollywood Pictures,189833357.0
579,9059,Universal Pictures,0.0
580,9059,Tales From The Crypt Holdings,0.0
585,193,Paramount Pictures,120000000.0
589,3049,Warner Bros.,107217396.0
590,3049,Morgan Creek Productions,107217396.0
593,9331,Paramount Pictures,215887717.0
594,9331,Mace Neufeld Productions,215887717.0
599,9495,Miramax Films,94000000.0
600,9495,Crowvision Inc.,94000000.0
601,9495,Entertainment Media Investment Corporation,94000000.0
602,9495,Jeff Most Productions,94000000.0
603,9495,Edward R. Pressman Film,94000000.0
614,888,Universal Pictures,341631208.0
615,888,Amblin Entertainment,341631208.0
616,888,Hanna-Barbera Productions,341631208.0
623,8587,Walt Disney Pictures,788241776.0
624,8587,Walt Disney Feature Animation,788241776.0
629,11596,New Line Cinema,18090181.0
633,854,New Line Cinema,351583407.0
635,854,Dark Horse Entertainment,351583407.0
649,36593,Paramount Pictures,51132598.0
651,11011,Davis Entertainment,0.0
653,11011,Silver Pictures,0.0
655,11011,Warner Bros.,0.0
663,1637,Twentieth Century Fox Film Corporation,350448145.0
666,8831,Universal Pictures,101646581.0
668,8831,Renaissance Pictures,101646581.0
670,8831,Dark Horse Entertainment,101646581.0
672,8831,Largo Entertainment,101646581.0
674,8831,Signature Pictures,101646581.0
676,8831,JVC Entertainment Networks,101646581.0
714,11667,Universal Pictures,99423521.0
718,11667,Capcom,99423521.0
738,75555,A-Pix Entertainment,0.0
739,75555,Devin Entertainment,0.0
742,8011,Trans-Film,36800000.0
745,8011,Initial Groupe,36800000.0
748,8011,Lumière Pictures,36800000.0
751,8011,Fallingcloud,36800000.0
778,2758,Paramount Pictures,48919043.0
779,2758,Orion Pictures,48919043.0
780,2758,Scott Rudin Productions,48919043.0
787,9409,Touchstone Pictures,0.0
789,306,Paramount Pictures,119208989.0
790,306,Eddie Murphy Productions,119208989.0
795,11310,Columbia Pictures,0.0
798,11310,Castle Rock Entertainment,0.0
819,24257,,0.0
820,1634,Canal Plus,153698625.0
822,1634,Regency Enterprises,153698625.0
824,1634,Alcor Films,153698625.0
826,1634,Warner Bros.,153698625.0
828,1634,Donner/Shuler-Donner Productions,153698625.0
840,5503,Warner Bros.,368875760.0
845,2019,Universal Pictures,74189677.0
846,2019,Renaissance Pictures,74189677.0
847,2019,Alphaville Films,74189677.0
857,9255,Twentieth Century Fox Film Corporation,133752825.0
858,9255,Sidley Wright & Associates,133752825.0
863,16097,,0.0
864,329,Universal Pictures,920100000.0
866,329,Amblin Entertainment,920100000.0
872,11231,Columbia Pictures Corporation,15826984.0
873,5550,Orion Pictures,10696210.0
883,11236,American Zoetrope,0.0
884,11236,Warner Bros.,0.0
889,8850,Universal Pictures,48063435.0
894,78,Shaw Brothers,33139618.0
909,78,Warner Bros.,33139618.0
924,78,The Ladd Company,33139618.0
1029,9066,Paramount Pictures,0.0
1033,771,Twentieth Century Fox Film Corporation,476684675.0
1034,771,Hughes Entertainment,476684675.0
1037,812,Walt Disney Pictures,504050219.0
1043,280,Lightstorm Entertainment,520000000.0
1047,280,Pacific Western,520000000.0
1051,280,Canal+,520000000.0
1055,280,Carolco Pictures,520000000.0
1059,280,T2 Productions,520000000.0
1103,268,PolyGram Filmed Entertainment,411348924.0
1107,268,The Guber-Peters Company,411348924.0
1111,268,Warner Bros.,411348924.0
1127,274,Orion Pictures,272742922.0
1128,274,Strong Heart/Demme Production,272742922.0
1133,10020,Walt Disney Pictures,377350553.0
1135,10020,Walt Disney Animation Studios,377350553.0
1137,10020,Silver Screen Partners IV,377350553.0
1163,10824,Propaganda Films,13940383.0
1164,10824,PolyGram Filmed Entertainment,13940383.0
1165,25059,Walt Disney Pictures,32709423.0
1173,11827,Canadian Film Development Corporation (CFDC),0.0
1177,8766,Miramax Films,16675000.0
1178,8766,Dimension Films,16675000.0
1179,8766,Trans Atlantic Entertainment,16675000.0
1186,19042,Metro-Goldwyn-Mayer (MGM),8620678.0
1191,954,Paramount Pictures,457696359.0
1194,954,Cruise/Wagner Productions,457696359.0
1209,8840,Universal Pictures,115267375.0
1210,25087,FM Entertainment International N.V.,684351.0
1212,5801,Government of West Bengal,536364.0
1213,896,Satyajit Ray Productions,16000.0
1214,8072,Filmstudio,0.0
1216,8072,Athos Films,0.0
1218,8072,Chaumiane,0.0
1232,20762,Live Entertainment,0.0
1236,11687,Canal Plus,0.0
1237,11687,Gaumont International,0.0
1238,11687,France 3 Cinema,0.0
1245,9323,Bandai Visual Company,2287714.0
1246,9323,Kodansha,2287714.0
1247,9323,Production I.G.,2287714.0
1254,532,Aardman Animations,0.0
1257,10547,Live Entertainment,14048372.0
1259,10547,Steelwork Films,14048372.0
1261,10547,Mediaworks,14048372.0
1281,77771,Studio Kankourama,0.0
1284,77771,Cinegrit,0.0
1293,627,Miramax Films,16491080.0
1294,627,Channel Four Films,16491080.0
1295,627,Noel Gay Motion Picture Company,16491080.0
1296,627,Figment Films,16491080.0
1297,627,Film4,16491080.0
1303,602,Twentieth Century Fox Film Corporation,816969268.0
1304,602,Centropolis Entertainment,816969268.0
1309,10545,Walt Disney Pictures,100138851.0
1315,9327,Imagine Entertainment,128769345.0
1316,9327,Universal Pictures,128769345.0
1323,12606,Paramount Pictures,0.0
1324,10546,Miramax Films,17917287.0
1330,9431,Universal Pictures,5600000.0
1332,9431,Tales From The Crypt Holdings,5600000.0
1334,9431,Universal City Studios,5600000.0
1342,10061,Paramount Pictures,42277365.0
1343,10061,Rysher Entertainment,42277365.0
1350,238,Paramount Pictures,245066411.0
1353,238,Alfran Productions,245066411.0
1362,11134,Golden Harvest Company,20483423.0
1366,11134,Golden Way Films Ltd.,20483423.0
1386,38955,Golden Harvest Company,0.0
1389,19004,Universal Cartoon Studios,0.0
1392,10987,Miramax Films,15116634.0
1394,62,Stanley Kubrick Productions,68700000.0
1398,62,Metro-Goldwyn-Mayer (MGM),68700000.0
1418,3529,Metro-Goldwyn-Mayer (MGM),1423000.0
1421,10331,Laurel Group,30000000.0
1422,10331,Off Color Films,30000000.0
1423,10331,Image Ten,30000000.0
1424,10331,Market Square Productions,30000000.0
1425,39448,D & B Films Co. Ltd.,0.0
1429,10680,Walt Disney,22955097.0
1433,18660,Walt Disney Productions,0.0
1437,35115,Walt Disney Productions,0.0
1445,14821,Walt Disney Productions,20000000.0
1449,14136,Walt Disney Productions,0.0
1458,10869,Walt Disney Pictures,0.0
1462,19186,Walt Disney Pictures,0.0
1464,6878,Walt Disney Pictures,0.0
1465,6878,Touchwood Pacific Partners 1,0.0
1472,15944,Walt Disney Productions,0.0
1474,11224,RKO Radio Pictures,263591415.0
1475,11224,Walt Disney Productions,263591415.0
1482,15947,Walt Disney Pictures,0.0
1491,10948,Walt Disney Productions,29800000.0
1495,11229,The Kushner-Locke Company,0.0
1496,11229,August Entertainment,0.0
1497,11229,Multicom entertainment,0.0
1504,562,Twentieth Century Fox Film Corporation,140767956.0
1507,562,Gordon Company,140767956.0
1510,562,Silver Pictures,140767956.0
1522,10163,New Line Cinema,32101000.0
1525,10163,Allied Vision,32101000.0
1540,11238,Walt Disney Television Animation,0.0
1543,88,Great American Films Limited Partnership,213954274.0
1544,88,Vestron Pictures,213954274.0
1549,8491,Gladden Entertainment,30218387.0
1550,402,TriStar Pictures,352927224.0
1552,402,Canal+,352927224.0
1554,402,Carolco Pictures,352927224.0
1562,25750,Dimension Films,0.0
1563,11843,United Artists,41833347.0
1564,11843,Jewel Productions,41833347.0
1565,11843,Pimlico Films,41833347.0
1566,11843,Incorporated Television Company (ITC),41833347.0
1575,1103,AVCO Embassy Pictures,50244700.0
1576,1103,Goldcrest Films International,50244700.0
1577,1103,International Film Investors,50244700.0
1578,1103,City Film,50244700.0
1583,11298,AVCO Embassy Pictures,17985893.0
1584,11298,International Film Investors,17985893.0
1585,11298,Wescom Productions,17985893.0
1589,4480,Renn Productions,0.0
1591,4480,Films A2,0.0
1593,4480,DD Productions,0.0
1595,4480,AMLF,0.0
1597,4480,Télévision Suisse-Romande (TSR),0.0
1599,4480,RAI Radiotelevisione Italiana,0.0
1601,4481,Renn Productions,0.0
1602,4481,Films A2,0.0
1603,4481,DD Productions,0.0
1604,4481,AMLF,0.0
1605,4481,RAI Radiotelevisione Italiana,0.0
1606,531,Aardman Animations,0.0
1609,36555,,0.0
1610,11455,Paramount Pictures,41590893.0
1611,1891,Lucasfilm,538400000.0
1612,1891,Twentieth Century Fox Film Corporation,538400000.0
1617,85,Lucasfilm,389925971.0
1623,85,Paramount Pictures,389925971.0
1641,679,Twentieth Century Fox Film Corporation,183316455.0
1643,679,SLM Production Group,183316455.0
1645,679,Brandywine Productions,183316455.0
1665,429,United Artists,6000000.0
1669,429,Constantin Film Produktion,6000000.0
1673,429,Produzioni Europee Associati (PEA),6000000.0
1677,429,Arturo González Producciones Cinematográficas S.A.,6000000.0
1681,1892,Lucasfilm,572700000.0
1682,1892,Twentieth Century Fox Film Corporation,572700000.0
1687,348,Twentieth Century Fox Film Corporation,104931801.0
1691,348,Brandywine Productions,104931801.0
1719,766,Universal Pictures,0.0
1720,766,Renaissance Pictures,0.0
1721,766,Metro-Goldwyn-Mayer (MGM),0.0
1722,766,Dino De Laurentiis Company,0.0
1731,539,Paramount Pictures,32000000.0
1732,539,Universal Pictures,32000000.0
1733,539,Shamley Productions,32000000.0
1740,525,Universal Pictures,115229890.0
1744,240,Paramount Pictures,47542841.0
1748,240,The Coppola Company,47542841.0
1760,530,Aardman Animations,0.0
1765,9277,Universal Pictures,159616327.0
1768,218,Orion Pictures,78371200.0
1770,218,Pacific Western,78371200.0
1772,218,Hemdale Film,78371200.0
1774,218,Cinema 84,78371200.0
1776,218,Euro Film Funding,78371200.0
1798,829,Paramount Pictures,30000000.0
1801,829,Penthouse,30000000.0
1804,829,Long Road Productions,30000000.0
1834,765,Renaissance Films,5923044.0
1835,765,Rosebud Productions,5923044.0
1840,105,Universal Pictures,381109762.0
1841,105,Amblin Entertainment,381109762.0
1842,105,U-Drive Productions,381109762.0
1852,8009,Davis-Panzer Productions,5900000.0
1854,8009,Thorn EMI Screen Entertainment,5900000.0
1864,756,Walt Disney Pictures,83320000.0
1867,11314,IRE Productions,1723872.0
1868,11314,Santa Fe Institute for Regional Education,1723872.0
1871,89,Lucasfilm,474171806.0
1874,89,Paramount Pictures,474171806.0
1883,8077,Twentieth Century Fox Film Corporation,159773545.0
1885,8077,Brandywine Productions,159773545.0
1895,41671,Steve White Productions,0.0
1897,41671,VPS Studios,0.0
1899,27214,De Laurentiis Entertainment Group (DEG),6333135.0
1901,52263,Zeta Entertainment,0.0
1902,52263,Promark Entertainment Group,0.0
1903,52263,Spectacor Films,0.0
1904,33519,A. Ninety-Three Productions,0.0
1905,16235,Dino De Laurentiis Company,12534817.0
1908,16235,Media Transactions,12534817.0
1911,11449,American International Pictures (AIP),86432000.0
1914,41848,Allegro Films,0.0
1918,41848,CFCF-TV,0.0
1922,8851,Paramount Pictures,0.0
1923,8851,Tonylyn Productions,0.0
1926,229,Universal Pictures,0.0
1928,9529,Propaganda Films,25792310.0
1929,9529,TriStar Pictures,25792310.0
1930,9529,PolyGram Filmed Entertainment,25792310.0
1937,7340,United Artists,33800000.0
1939,377,New Line Cinema,25504513.0
1940,377,Smart Egg Pictures,25504513.0
1941,794,Twentieth Century Fox Film Corporation,60922980.0
1947,794,Mace Neufeld Productions,60922980.0
1965,145,Trust Film,3803298.0
1971,145,Danish Film Institute,3803298.0
1989,199,Paramount Pictures,150000000.0
1990,199,Digital Image Associates,150000000.0
1997,9279,Twentieth Century Fox Film Corporation,129832389.0
1998,9279,1492 Pictures,129832389.0
2001,17204,,0.0
2003,11674,Walt Disney Pictures,320689294.0
2005,11674,Great Oaks Entertainment,320689294.0
2011,1573,Twentieth Century Fox Film Corporation,240031094.0
2013,1573,Gordon Company,240031094.0
2015,1573,Silver Pictures,240031094.0
2023,152,Paramount Pictures,139000000.0
2026,174,Paramount Pictures,96900000.0
2030,172,Paramount Pictures,70200000.0
2034,154,Paramount Pictures,96800000.0
2038,157,Paramount Pictures,87000000.0
2046,168,Paramount Pictures,133000000.0
2050,364,PolyGram Filmed Entertainment,280000000.0
2052,364,Warner Bros.,280000000.0
2058,11967,Twentieth Century Fox Film Corporation,44726644.0
2059,11967,Morgan Creek Productions,44726644.0
2068,9086,Morgan Creek Productions,0.0
2070,621,Paramount Pictures,181813770.0
2071,621,Robert Stigwood Organization (RSO),181813770.0
2072,9037,Paramount Pictures,15171476.0
2077,8845,Regency Enterprises,156563139.0
2079,8845,Alcor Films,156563139.0
2081,8845,Canal+,156563139.0
2083,8845,Warner Bros.,156563139.0
2093,578,Universal Pictures,470654000.0
2094,578,Zanuck/Brown Productions,470654000.0
2099,579,Universal Pictures,187884007.0
2101,17692,Universal Pictures,87987055.0
2102,17692,Alan Landsburg Productions,87987055.0
2103,17692,MCA  Theatricals,87987055.0
2107,4232,Woods Entertainment,173046663.0
2108,4232,Dimension Films,173046663.0
2113,34314,Metro-Goldwyn-Mayer (MGM),11466088.0
2114,34314,Rysher Entertainment,11466088.0
2119,9404,Golden Harvest Company,21890845.0
2239,14908,Universal Pictures,4529843.0
2240,14908,The Bubble Factory,4529843.0
2241,14908,Sheinberg Productions,4529843.0
2248,11419,Jerry Weintraub Productions,36400360.0
2249,11419,Warner Bros.,36400360.0
2250,10003,Paramount Pictures,118063304.0
2252,10003,Mace Neufeld Productions,118063304.0
2254,10003,Rysher Entertainment,118063304.0
2280,11844,Fox Searchlight Pictures,0.0
2284,6499,Twentieth Century Fox Film Corporation,17979739.0
2286,6499,Saban Entertainment,17979739.0
2288,6499,Toei Company,17979739.0
2320,9360,Columbia Pictures Corporation,136885767.0
2323,9360,Middle Fork Productions,136885767.0
2326,9360,Iguana Producciones,136885767.0
2329,9360,Skylight Cinema Foto Art,136885767.0
2332,9360,St. Tropez Films,136885767.0
2335,9360,Cinema Line Film Corporation,136885767.0
2374,816,New Line Cinema,67683989.0
2376,816,Capella International,67683989.0
2378,816,Eric's Boy,67683989.0
2392,49478,China Film Co-Production Corporation,0.0
2396,49478,Metro-Goldwyn-Mayer (MGM),0.0
2400,49478,Law Brothers Entertainment,0.0
2404,49478,IJL Creations,0.0
2440,1811,Desperate Pictures,27354.0
2442,1811,UGC Images,27354.0
2452,330,Universal Pictures,229074524.0
2453,330,Amblin Entertainment,229074524.0
2458,33660,Bruin Grip Services,0.0
2459,33660,Good Dog Productions LLC,0.0
2460,33660,Utopia Pictures,0.0
2461,33660,Zeta Entertainment,0.0
2466,1639,Twentieth Century Fox Film Corporation,164508066.0
2468,1639,Blue Tulip Productions,164508066.0
2478,415,PolyGram Filmed Entertainment,238207122.0
2480,415,Warner Bros.,238207122.0
2490,17991,,0.0
2494,607,Amblin Entertainment,589390539.0
2496,607,Columbia Pictures Corporation,589390539.0
2498,607,Parkes+MacDonald Image Nation,589390539.0
2518,9387,Universal Pictures,79114085.0
2519,9387,Dino De Laurentiis Company,79114085.0
2524,10603,Walt Disney Pictures,0.0
2526,10603,Mandeville Films,0.0
2540,20737,Walt Disney Pictures,23144499.0
2546,18519,Regency Enterprises,0.0
2548,18519,Donner/Shuler-Donner Productions,0.0
2550,18519,Warner Bros.,0.0
2552,4961,Miramax Films,25480490.0
2554,4961,Dimension Films,25480490.0
2564,1669,Paramount Pictures,199200000.0
2566,1669,Nina Saxon Film Design,199200000.0
2568,1669,Mace Neufeld Productions,199200000.0
2582,9437,Paramount Pictures,60527873.0
2584,9437,Rysher Entertainment,60527873.0
2598,10351,Live Entertainment,15719109.0
2599,10351,Image Organization,15719109.0
2600,10351,Pierre David,15719109.0
2601,3597,Columbia Pictures Corporation,125586134.0
2602,3597,Mandalay Entertainment,125586134.0
2603,3597,Summer Knowledge LLC,125586134.0
2610,1281,Tiger Aspect Productions,251212670.0
2612,1281,PolyGram Filmed Entertainment,251212670.0
2614,1281,Working Title Films,251212670.0
2616,563,TriStar Pictures,121214377.0
2617,563,Touchstone Pictures,121214377.0
2618,563,Big Bug Pictures,121214377.0
2628,9823,New Line Cinema,51376861.0
2629,9823,Threshold Entertainment,51376861.0
2634,8078,Twentieth Century Fox Film Corporation,162000000.0
2635,8078,Brandywine Productions,162000000.0
2640,42832,Telefilm Canada,0.0
2641,42832,Melenny Productions,0.0
2642,42832,Super Écran,0.0
2643,42832,Gouvernement Canadien,0.0
2644,42832,Fonds de télévision et de câblodistribution pour la production d'émissions canadiennes,0.0
2645,42832,Gouvernement du Québec,0.0
2646,9714,Twentieth Century Fox Film Corporation,79082515.0
2648,9714,Hughes Entertainment,79082515.0
2654,4233,Miramax Films,172363301.0
2655,4233,Konrad Pictures,172363301.0
2656,4233,Maven Entertainment,172363301.0
2657,4233,Dimension Films,172363301.0
2662,714,Eon Productions,333011068.0
2692,9922,Tig Productions,17626234.0
2694,9922,Warner Bros.,17626234.0
2700,32302,TriStar Pictures,0.0
2703,32302,Leeds/Ben-Ami Productions,0.0
2706,32302,Sheen Productions,0.0
2727,9033,,0.0
2733,11568,Universal Pictures,14051384.0
2741,11808,Kopelson Entertainment,102367405.0
2742,11808,Warner Bros.,102367405.0
2747,617,Mandalay Entertainment,67200000.0
2748,17644,PolyGram Filmed Entertainment,0.0
2749,17644,Lyrick Studios,0.0
2750,27472,Paramount Pictures,0.0
2754,10216,Metro-Goldwyn-Mayer (MGM),19165560.0
2757,9771,Warner Bros.,3572443.0
2759,9771,Morgan Creek Productions,3572443.0
2761,37410,Shooting Gallery,1334786.0
2762,37410,True Fiction Pictures,1334786.0
2765,10674,Walt Disney Pictures,304320254.0
2767,10674,Walt Disney Feature Animation,304320254.0
2777,846,Twentieth Century Fox Film Corporation,189198313.0
2779,846,Ten Thirteen Productions,189198313.0
2789,3050,Twentieth Century Fox Film Corporation,294456605.0
2790,3050,Joseph M. Singer Entertainment,294456605.0
2791,3050,Davis Entertainment,294456605.0
2798,944,Silver Pictures,285444603.0
2801,944,Donner/Shuler-Donner Productions,285444603.0
2804,944,Warner Bros.,285444603.0
2843,1051,Twentieth Century Fox Film Corporation,41158757.0
2845,1051,D'Antoni Productions,41158757.0
2847,1051,Schine-Moore Productions,41158757.0
2861,1366,United Artists,117235147.0
2862,10014,New Line Cinema,29999213.0
2863,10014,Smart Egg Pictures,29999213.0
2864,10072,New Line Cinema,44793222.0
2865,10072,Smart Egg Pictures,44793222.0
2868,10131,New Line Cinema,72500000.0
2870,10160,New Line Cinema,22168359.0
2872,11284,New Line Cinema,34872033.0
2875,4488,Paramount Pictures,59754601.0
2876,4488,Georgetown Productions Inc.,59754601.0
2877,4488,Sean S. Cunningham Films,59754601.0
2878,9725,Paramount Pictures,21722776.0
2879,9725,"Georgetown Productions, Inc.",21722776.0
2882,9728,Paramount Pictures,36690067.0
2883,9728,Jason Productions,36690067.0
2886,9730,Paramount Pictures,32980880.0
2888,9730,"Friday Four, Inc.",32980880.0
2894,9731,Paramount Pictures,21930418.0
2895,9731,Georgetown Productions Inc.,21930418.0
2898,10225,Paramount Pictures,19472057.0
2901,10281,Paramount Pictures,19170001.0
2903,10283,Paramount Pictures,14000000.0
2904,10283,Sean S. Cunningham Films,14000000.0
2905,10283,Horror Inc.,14000000.0
2909,948,Compass International Pictures,70000000.0
2910,948,Falcon International Productions,70000000.0
2913,11281,Universal Pictures,25533818.0
2915,10676,Universal Pictures,14400000.0
2918,11357,Dimension Films,17768757.0
2920,11361,Trans Pacific Films,11642254.0
2922,36599,Guardian Trust Company,14796236.0
2923,36599,Simcom Limited,14796236.0
2924,36599,Prom Night Productions,14796236.0
2931,39929,Simcom Limited,2683519.0
2932,39929,Allarcom Limited,2683519.0
2933,39929,British Columbia Television,2683519.0
2934,39929,CFCN Communications,2683519.0
2935,39929,TBA Film,2683519.0
2936,41828,Norstar Entertainment,0.0
2937,41828,Famous Players,0.0
2938,41828,Comweb Productions,0.0
2945,41769,Norstar Entertainment,0.0
2946,10585,United Artists,44196684.0
2948,11186,Universal Pictures,35763605.0
2952,11187,Universal Pictures,20560255.0
2964,609,SLM Production Group,122200000.0
2965,609,Metro-Goldwyn-Mayer (MGM),122200000.0
2966,11133,Metro-Goldwyn-Mayer (MGM),40996665.0
2968,10306,Metro-Goldwyn-Mayer (MGM),14144000.0
2970,9552,Warner Bros.,441306145.0
2976,9552,Hoya Productions,441306145.0
3006,11586,Warner Bros.,30749142.0
3015,11587,Morgan Creek Productions,39024251.0
3021,941,Silver Pictures,120207127.0
3022,941,Warner Bros.,120207127.0
3031,942,Silver Pictures,227853986.0
3033,942,Warner Bros.,227853986.0
3051,943,Silver Pictures,321731527.0
3052,943,Warner Bros.,321731527.0
3061,927,Amblin Entertainment,153083102.0
3063,927,Warner Bros.,153083102.0
3073,928,Amblin Entertainment,41482207.0
3074,928,Warner Bros.,41482207.0
3079,9342,Amblin Entertainment,250288523.0
3080,9342,TriStar Pictures,250288523.0
3083,165,Universal Pictures,332000000.0
3084,165,Amblin Entertainment,332000000.0
3085,165,U-Drive Productions,332000000.0
3095,196,Universal Pictures,244527583.0
3096,196,Amblin Entertainment,244527583.0
3097,196,U-Drive Productions,244527583.0
3107,551,Twentieth Century Fox Film Corporation,84563118.0
3108,551,Kent Productions,84563118.0
3111,17984,Walt Disney Productions,0.0
3114,22328,Walt Disney Productions,0.0
3117,3170,Walt Disney Productions,267447150.0
3120,242,Paramount Pictures,136766062.0
3144,29228,Walt Disney Pictures,0.0
3146,11164,Walt Disney,45610410.0
3154,12129,Walt Disney Productions,0.0
3162,14140,Walt Disney Productions,0.0
3172,11158,Walt Disney Pictures,58662452.0
3173,11158,Touchwood Pacific Partners 1,58662452.0
3180,9354,Buena Vista,222724172.0
3184,9325,Walt Disney Pictures,205843612.0
3187,10340,Walt Disney Productions,93600000.0
3189,10144,Walt Disney Pictures,222300000.0
3191,10144,Silver Screen Partners IV,222300000.0
3197,10414,Walt Disney,50752337.0
3199,10437,Walt Disney Pictures,27281507.0
3200,10437,"Jim Henson Company, The",27281507.0
3207,12230,Walt Disney Productions,215880014.0
3211,10693,RKO Radio Pictures,87404651.0
3212,10693,Walt Disney Productions,87404651.0
3221,11135,Walt Disney Pictures,47431461.0
3226,11135,Walt Disney Feature Animation,47431461.0
3231,11135,Silver Screen Partners IV,47431461.0
3296,11319,Walt Disney Productions,71215869.0
3300,14822,,16393000.0
3304,15969,Walt Disney Television Animation,0.0
3308,15943,Walt Disney Productions,0.0
3312,19762,Walt Disney,0.0
3315,2619,Touchstone Pictures,69821334.0
3321,97,Walt Disney Pictures,33000000.0
3322,97,Lisberger/Kushner,33000000.0
3327,11675,Dimension Films,55041738.0
3329,87,Lucasfilm,333000000.0
3331,87,Paramount Pictures,333000000.0
3337,123,United Artists,30471420.0
3338,123,Fantasy Films,30471420.0
3345,10823,Hal Roach Studios,14000000.0
3348,10823,Cinema Group,14000000.0
3351,10823,Planet Productions,14000000.0
3354,10823,Angeles Entertainment Group,14000000.0
3357,10823,Inverness Productions,14000000.0
3360,10823,Gatlin,14000000.0
3417,11497,United Artists,27100027.0
3420,11497,Goldcrest Films International,27100027.0
3423,11497,Sullivan Bluth Studios,27100027.0
3462,2907,Paramount Pictures,191502426.0
3463,2907,Orion Pictures,191502426.0
3464,2907,Scott Rudin Productions,191502426.0
3471,15171,Paramount Pictures,0.0
3472,15171,Hanna-Barbera Productions,0.0
3473,15171,Sagittarius Productions,0.0
